source_id	geo	source_class	languages	name	url	topics	http_status	final_url	content_type	page_title	canonical_url	rss_or_atom	robots_url	robots_status	robots_sitemaps	probe_error	checked_at_utc
EU-01	EU	A	multi	European Commission	https://commission.europa.eu/	law;trade	200	https://commission.europa.eu/select-language?destination=/node/1	text/html; charset=UTF-8	Language selection | European Commission	https://commission.europa.eu/index_en		https://commission.europa.eu/robots.txt	200	https://commission.europa.eu/sitemap.xml		2026-08-30T16:32:54+00:00
EU-02	EU	A	en	ACEA	https://www.acea.auto/	statistics;trade	202	https://www.acea.auto/	text/html				https://www.acea.auto/robots.txt	200	http://www.acea.auto/sitemap_index.xml		2026-08-30T16:32:54+00:00
EU-03	EU	A	multi	Eurostat	https://ec.europa.eu/eurostat/	statistics;trade	200	https://ec.europa.eu/eurostat/	text/html;charset=UTF-8	Home - Eurostat	https://ec.europa.eu/eurostat		https://ec.europa.eu/robots.txt	200			2026-08-30T16:32:55+00:00
EU-04	EU	A	multi	European Commission Mobility and Transport	https://transport.ec.europa.eu/	transport;rules	200	https://transport.ec.europa.eu/select-language?destination=/node/1	text/html; charset=UTF-8	Language selection | Mobility and Transport	https://transport.ec.europa.eu/index_en		https://transport.ec.europa.eu/robots.txt	200	https://transport.ec.europa.eu/sitemap.xml		2026-08-30T16:32:55+00:00
EU-05	EU	B	en	Automotive News Europe	https://europe.autonews.com/	industry;market	403	https://www.autonews.com/europe/	text/html	Access Denied			https://www.autonews.com/robots.txt	403		HTTPError:403	2026-08-30T16:32:54+00:00
EU-06	EU	C	en	Autocar	https://www.autocar.co.uk/	models;industry	200	https://www.autocar.co.uk/	text/html; charset=utf-8	Autocar | Car News and Car Reviews	https://www.autocar.co.uk/		https://www.autocar.co.uk/robots.txt	200	https://www.autocar.co.uk/tyres/sitemap.xml;https://www.autocar.co.uk/googlenews.xml;https://www.autocar.co.uk/sitemap.xml		2026-08-30T16:32:55+00:00
EU-07	EU	C	en	Auto Express	https://www.autoexpress.co.uk/	models;ownership	200	https://www.autoexpress.co.uk/	text/html; charset=utf-8		https://www.autoexpress.co.uk/		https://www.autoexpress.co.uk/robots.txt	200	https://www.autoexpress.co.uk/sitemap.xml;https://www.autoexpress.co.uk/sitemap_news.xml		2026-08-30T16:32:54+00:00
EU-08	EU	A	de	ADAC	https://www.adac.de/	safety;ownership	200	https://www.adac.de/	text/html; charset=utf-8	ADAC: Allgemeiner Deutscher Automobil-Club	https://www.adac.de/		https://www.adac.de/robots.txt	200	https://www.adac.de/sitemap_index.xml;https://www.adac.de/sitemaps/sitemap-news.xml;https://www.adac.de/sitemaps/sitemap-contentful.xml;https://www.adac.de/sitemap/sitemap3-0.xml;https://autovermietung.adac.de/sitemap.xml;https://www.adac.de/fahrzeugwelt/sitemaps/index.xml;https://www.adac.de/sitemaps/fahrzeugwelt/sitemap-news.xml;https://www.adac.de/sitemaps/sitemap-autokatalog.xml		2026-08-30T16:32:55+00:00
EU-09	EU	A	de	KBA Germany	https://www.kba.de/	registrations;recalls	200	https://www.kba.de/DE/Home/home_node.html	text/html;charset=utf-8	Kraftfahrt-Bundesamt - Startseite	https://www.kba.de/DE/Home/home_node.html		https://www.kba.de/robots.txt	200			2026-08-30T16:32:56+00:00
EU-10	EU	A	en	CLEPA	https://www.clepa.eu/	suppliers;industry	200	https://www.clepa.eu/	text/html; charset=UTF-8	CLEPA | European Association of Automotive Suppliers	https://www.clepa.eu/	https://www.clepa.eu/feed/;https://www.clepa.eu/comments/feed/	https://www.clepa.eu/robots.txt	200	https://www.clepa.eu/sitemaps.xml		2026-08-30T16:32:54+00:00
